一,1,イチ・イツ,ひと（つ）
右,5,ウ・ユウ,みぎ
雨,8,ウ,あめ・あま
円,4,エン,まる（い）
王,4,オウ,
音,9,オン・イン,おと
下,3,カ・ゲ,した・くだ（る）・くだ（さる）・さ（がる）・しも・もと・お（りる）
火,4,カ,ひ・ほ
花,7,カ,はな
貝,7,,かい
学,8,ガク,まな（ぶ）
気,6,キ・ケ,
九,2,キュウ・ク,ここの（つ）
休,6,キュウ,やす（む）・やす（まる）・やす（める）
玉,5,ギョク,たま
金,8,キン・コン,かね・かな
空,8,クウ,そら・あ（ける）・から
月,4,ゲツ・ガツ,つき
犬,4,ケン,いぬ
見,7,ケン,み（る）・み（える）
五,4,ゴ,いつ（つ）
口,3,コウ・ク,くち
校,10,コウ,
左,5,サ,ひだり
三,3,サン,みっ（つ）
山,3,サン,やま
子,3,シ・ス,こ
四,5,シ,よっ（つ）・よん
糸,6,シ,いと
字,6,ジ,あざ
耳,6,ジ,みみ
七,2,シチ,なな（つ）・なな
車,7,シャ,くるま
手,4,シュ,て・た
十,2,ジュウ・ジッ,とお・と
出,5,シュツ・スイ,で（る）・だ（す）
女,3,ジョ・ニョ・ニョウ,おんな・め
小,3,ショウ,ちい（さい）・こ・お
上,3,ジョウ・ショウ,うえ・うわ・かみ・あ（げる）・のぼ（る）
森,12,シン,もり
人,2,ジン・ニン,ひと
水,4,スイ,みず
正,5,セイ・ショウ,ただ（しい）・まさ
生,5,セイ・ショウ,い（きる）・う（まれる）・お（う）・は（える）・き・なま
青,8,セイ・ショウ,あお
夕,3,セキ,ゆう
石,5,セキ・シャク・コク,いし
赤,7,セキ・シャク,あか・あか（らめる）
千,3,セン,ち
川,3,セン,かわ
先,6,セン,さき
早,6,ソウ・サッ,はや（い）・はや（まる）
草,9,ソウ,くさ
足,7,ソク,た（りる）・た（す）・あし
村,7,ソン,むら
大,3,タイ・ダイ,おお（きい）・おお（いに）
男,7,ダン・ナン,おとこ
竹,6,チク,たけ
中,4,チュウ・ジュウ,なか
虫,6,チュウ,むし
町,7,チョウ,まち
天,4,テン,あま・あめ
田,5,デン,た
土,3,ド・ト,つち
二,2,二,ふた（つ）
日,4,ニチ・ジツ,ひ・か
入,2,ニュウ,はい（る）・い（れる）
年,6,ネン,とし
白,5,ハク・ビャク,しろ（い）・しろ・しら
八,2,ハチ,やっ（つ）・や
百,6,ヒャク,
文,4,ブン・モン,ふみ
木,4,ボク・モク,き・こ
本,5,ホン,もと
名,6,メイ・ミョウ,な
目,5,モク・ボク,め
立,5,リツ・リュウ,た（つ）・た（てる）
力,2,リョク・リキ,ちから
林,8,リン,はやし
六,4,ロク,むっ（つ）・む・むい
